conversion_profile,temperature_profile,instant_temperature_change_profile,enthalpy_profile,instant_enthalpy_profile,reaction_rate_profile
0.436036036036036,473.0384752684702,0.02582657657456167,-1996106.697468172,-2944.2576285160612,0.0021511057986943736
0.43693693693693697,473.0642598059648,0.02578453749458393,-1999046.1845023069,-2939.4870341347996,0.002147402961038605
0.43783783783783786,473.0900023086363,0.025742502671533208,-2001980.901301879,-2934.71679957211,0.0021436982632059265
0.43873873873873875,473.11570278073424,0.02570047209792797,-2004910.8482261405,-2929.946924261516,0.0021399917098331844
0.43963963963963965,473.1413612265004,0.02565844576615754,-2007836.0256337621,-2925.177407621639,0.0021362833055577368
0.44054054054054054,473.16697765016875,0.025616423668351394,-2010756.4338828041,-2920.408249041997,0.0021325730550174555
0.44144144144144143,473.1925520559658,0.025574405797032705,-2013672.0733307602,-2915.639447956113,0.002128860962850711
0.4423423423423424,473.2180844481099,0.025532392144072682,-2016582.9443344835,-2910.8710037232377,0.002125147033696365
0.44324324324324327,473.2435748308123,0.0254903827023897,-2019489.047250305,-2906.102915821597,0.0021214312721937784
0.44414414414414416,473.2690232082764,0.025448377464119477,-2022390.3824339458,-2901.335183640709,0.0021177136829827956
